"","Year","age_mother","Inner","SUM_births","SUM_pop","Inner_factor","London_zone_ASFR","London_zone_ASFR_perK"
"156","1996","30",1,3075,31862,"Inner",0.0965099491557341,96.5099491557341
"157","1996","31",0,4670,41257,"Outer",0.113192912717842,113.192912717842
"158","1996","31",1,3026,31483,"Inner",0.0961153638471556,96.1153638471556
"159","1996","32",0,4254,40362,"Outer",0.10539616470938,105.39616470938
"160","1996","32",1,2807,30152,"Inner",0.0930949854072698,93.0949854072698
"161","1996","33",0,3660,39006,"Outer",0.0938317181972004,93.8317181972004
"162","1996","33",1,2496,28996,"Inner",0.0860808387363774,86.0808387363774
"163","1996","34",0,3108,37399,"Outer",0.0831038263055162,83.1038263055162
"164","1996","34",1,2188,26723,"Inner",0.0818770347640609,81.8770347640609
"165","1996","35",0,2563,36161,"Outer",0.0708774646718841,70.8774646718841
"166","1996","35",1,1884,25037,"Inner",0.0752486320246036,75.2486320246036
"167","1996","36",0,2142,34206,"Outer",0.0626205928784424,62.6205928784424
"168","1996","36",1,1618,23304,"Inner",0.0694301407483694,69.4301407483694
"169","1996","37",0,1549,33420,"Outer",0.0463494913225613,46.3494913225613
"170","1996","37",1,1122,21303,"Inner",0.052668638219969,52.668638219969
"171","1996","38",0,1179,32060,"Outer",0.0367747972551466,36.7747972551466
"172","1996","38",1,969,20247,"Inner",0.0478589420654912,47.8589420654912
"173","1996","39",0,845,31037,"Outer",0.0272255694815865,27.2255694815865
"174","1996","39",1,716,19100,"Inner",0.0374869109947644,37.4869109947644
"175","1996","42",0,1439,143074,"Outer",0.0100577323622741,10.0577323622741
"176","1996","42",1,1330,81737,"Inner",0.016271700698582,16.271700698582
"177","1997","17",0,2837,131449,"Outer",0.021582514891707,21.582514891707
"178","1997","17",1,2606,82007,"Inner",0.031777775067982,31.777775067982
"179","1997","20",0,1293,27730,"Outer",0.0466282005048684,46.6282005048684
"180","1997","20",1,1286,22675,"Inner",0.0567144432194046,56.7144432194046
"181","1997","21",0,1496,28067,"Outer",0.0533010296789824,53.3010296789824
"182","1997","21",1,1400,22652,"Inner",0.0618046971569839,61.8046971569839
"183","1997","22",0,1715,27689,"Outer",0.0619379537000253,61.9379537000253
"184","1997","22",1,1553,22177,"Inner",0.0700275059746584,70.0275059746584
"185","1997","23",0,2081,29495,"Outer",0.0705543312425835,70.5543312425835
"186","1997","23",1,1747,23801,"Inner",0.0734002772992731,73.4002772992731
"187","1997","24",0,2401,32326,"Outer",0.0742745777392811,74.2745777392811
"188","1997","24",1,1874,25446,"Inner",0.0736461526369567,73.6461526369567
"189","1997","25",0,2875,34840,"Outer",0.0825200918484501,82.5200918484501
"190","1997","25",1,1918,28245,"Inner",0.067905824039653,67.905824039653
"191","1997","26",0,3397,36796,"Outer",0.0923198173714534,92.3198173714534
"192","1997","26",1,2221,29921,"Inner",0.074228802513285,74.228802513285
"193","1997","27",0,3723,37339,"Outer",0.0997080800235678,99.7080800235678
"194","1997","27",1,2400,30202,"Inner",0.0794649360969472,79.4649360969472
"195","1997","28",0,4281,38780,"Outer",0.110391954615781,110.391954615781
"196","1997","28",1,2665,31357,"Inner",0.0849889976719712,84.9889976719712
"197","1997","29",0,4374,39335,"Outer",0.111198678022118,111.198678022118
"198","1997","29",1,2829,31872,"Inner",0.0887612951807229,88.7612951807229
"199","1997","30",0,4537,40846,"Outer",0.111075747931254,111.075747931254
"200","1997","30",1,2845,31972,"Inner",0.0889841110972101,88.9841110972101
"201","1997","31",0,4470,41204,"Outer",0.108484613144355,108.484613144355
"202","1997","31",1,2874,31427,"Inner",0.0914500270468069,91.4500270468069
"203","1997","32",0,4307,41251,"Outer",0.104409590070544,104.409590070544
"204","1997","32",1,2877,30918,"Inner",0.0930525907238502,93.0525907238502
"205","1997","33",0,3880,40263,"Outer",0.096366390979311,96.366390979311
"206","1997","33",1,2636,29593,"Inner",0.0890751191160072,89.0751191160072
"207","1997","34",0,3191,38955,"Outer",0.0819150301630086,81.9150301630086
"208","1997","34",1,2291,28435,"Inner",0.0805697204149815,80.5697204149815
"209","1997","35",0,2704,37319,"Outer",0.0724563895066856,72.4563895066856
"210","1997","35",1,1968,25969,"Inner",0.0757826639454734,75.7826639454734
"211","1997","36",0,2178,35901,"Outer",0.0606668337929306,60.6668337929306
"212","1997","36",1,1677,24527,"Inner",0.0683736290618502,68.3736290618502
"213","1997","37",0,1749,34042,"Outer",0.0513777098877857,51.3777098877857
"214","1997","37",1,1370,22790,"Inner",0.0601140851250548,60.1140851250548
"215","1997","38",0,1295,33364,"Outer",0.0388142908524158,38.8142908524158
"216","1997","38",1,1029,20911,"Inner",0.0492085505236478,49.2085505236478
"217","1997","39",0,932,31899,"Outer",0.0292172168406533,29.2172168406533
"218","1997","39",1,805,20018,"Inner",0.0402138075731841,40.2138075731841
"219","1997","42",0,1572,146006,"Outer",0.0107666808213361,10.7666808213361
"220","1997","42",1,1419,84448,"Inner",0.0168032398635847,16.8032398635847
"221","1998","17",0,2981,130266,"Outer",0.0228839451583683,22.8839451583683
"222","1998","17",1,2531,81660,"Inner",0.0309943668870928,30.9943668870928
"223","1998","20",0,1255,27418,"Outer",0.0457728499525859,45.7728499525859
"224","1998","20",1,1188,22179,"Inner",0.0535641823346409,53.5641823346409
"225","1998","21",0,1441,28464,"Outer",0.0506253513209668,50.6253513209668
"226","1998","21",1,1346,23378,"Inner",0.0575754983317649,57.5754983317649
"227","1998","22",0,1714,30386,"Outer",0.0564075561113671,56.4075561113671
"228","1998","22",1,1618,24273,"Inner",0.066658427058872,66.658427058872
"229","1998","23",0,2005,30410,"Outer",0.0659322591252877,65.9322591252877
"230","1998","23",1,1610,23989,"Inner",0.0671140939597315,67.1140939597315
"231","1998","24",0,2369,30939,"Outer",0.0765700248876822,76.5700248876822
"232","1998","24",1,1703,25059,"Inner",0.0679596153078734,67.9596153078734
"233","1998","25",0,2675,33806,"Outer",0.0791279654499201,79.1279654499201
"234","1998","25",1,1917,26951,"Inner",0.0711290861192535,71.1290861192535
"235","1998","26",0,3279,35531,"Outer",0.0922856097492331,92.2856097492331
