"","Month","New_date","Region","Price","New_region","Final_date","highlight_flag","Region_factor","label"
"128","Mar-16","01/03/2016","North.West",603,"North West",2016-03-01,FALSE,"North West",NA
"129","Mar-16","01/03/2016","Yorkshire.and.the.Humber",587,"Yorkshire and the Humber",2016-03-01,FALSE,"Yorkshire and the Humber",NA
"130","Mar-16","01/03/2016","East.Midlands",577,"East Midlands",2016-03-01,FALSE,"East Midlands",NA
"131","Mar-16","01/03/2016","West.Midlands",636,"West Midlands",2016-03-01,FALSE,"West Midlands",NA
"132","Mar-16","01/03/2016","East",851,"East",2016-03-01,TRUE,"East",NA
"133","Mar-16","01/03/2016","London",1659,"London",2016-03-01,TRUE,"London",NA
"134","Mar-16","01/03/2016","South.East",970,"South East",2016-03-01,TRUE,"South East",NA
"135","Mar-16","01/03/2016","South.West",806,"South West",2016-03-01,FALSE,"South West",NA
"136","Apr-16","01/04/2016","North.East",538,"North East",2016-04-01,FALSE,"North East",NA
"137","Apr-16","01/04/2016","North.West",605,"North West",2016-04-01,FALSE,"North West",NA
"138","Apr-16","01/04/2016","Yorkshire.and.the.Humber",588,"Yorkshire and the Humber",2016-04-01,FALSE,"Yorkshire and the Humber",NA
"139","Apr-16","01/04/2016","East.Midlands",578,"East Midlands",2016-04-01,FALSE,"East Midlands",NA
"140","Apr-16","01/04/2016","West.Midlands",637,"West Midlands",2016-04-01,FALSE,"West Midlands",NA
"141","Apr-16","01/04/2016","East",855,"East",2016-04-01,TRUE,"East",NA
"142","Apr-16","01/04/2016","London",1663,"London",2016-04-01,TRUE,"London",NA
"143","Apr-16","01/04/2016","South.East",975,"South East",2016-04-01,TRUE,"South East",NA
"144","Apr-16","01/04/2016","South.West",809,"South West",2016-04-01,FALSE,"South West",NA
"145","May-16","01/05/2016","North.East",538,"North East",2016-05-01,FALSE,"North East",NA
"146","May-16","01/05/2016","North.West",606,"North West",2016-05-01,FALSE,"North West",NA
"147","May-16","01/05/2016","Yorkshire.and.the.Humber",589,"Yorkshire and the Humber",2016-05-01,FALSE,"Yorkshire and the Humber",NA
"148","May-16","01/05/2016","East.Midlands",580,"East Midlands",2016-05-01,FALSE,"East Midlands",NA
"149","May-16","01/05/2016","West.Midlands",637,"West Midlands",2016-05-01,FALSE,"West Midlands",NA
"150","May-16","01/05/2016","East",858,"East",2016-05-01,TRUE,"East",NA
"151","May-16","01/05/2016","London",1673,"London",2016-05-01,TRUE,"London",NA
"152","May-16","01/05/2016","South.East",979,"South East",2016-05-01,TRUE,"South East",NA
"153","May-16","01/05/2016","South.West",812,"South West",2016-05-01,FALSE,"South West",NA
"154","Jun-16","01/06/2016","North.East",539,"North East",2016-06-01,FALSE,"North East",NA
"155","Jun-16","01/06/2016","North.West",607,"North West",2016-06-01,FALSE,"North West",NA
"156","Jun-16","01/06/2016","Yorkshire.and.the.Humber",590,"Yorkshire and the Humber",2016-06-01,FALSE,"Yorkshire and the Humber",NA
"157","Jun-16","01/06/2016","East.Midlands",581,"East Midlands",2016-06-01,FALSE,"East Midlands",NA
"158","Jun-16","01/06/2016","West.Midlands",639,"West Midlands",2016-06-01,FALSE,"West Midlands",NA
"159","Jun-16","01/06/2016","East",862,"East",2016-06-01,TRUE,"East",NA
"160","Jun-16","01/06/2016","London",1670,"London",2016-06-01,TRUE,"London",NA
"161","Jun-16","01/06/2016","South.East",982,"South East",2016-06-01,TRUE,"South East",NA
"162","Jun-16","01/06/2016","South.West",816,"South West",2016-06-01,FALSE,"South West",NA
"163","Jul-16","01/07/2016","North.East",542,"North East",2016-07-01,FALSE,"North East",NA
"164","Jul-16","01/07/2016","North.West",608,"North West",2016-07-01,FALSE,"North West",NA
"165","Jul-16","01/07/2016","Yorkshire.and.the.Humber",591,"Yorkshire and the Humber",2016-07-01,FALSE,"Yorkshire and the Humber",NA
"166","Jul-16","01/07/2016","East.Midlands",584,"East Midlands",2016-07-01,FALSE,"East Midlands",NA
"167","Jul-16","01/07/2016","West.Midlands",640,"West Midlands",2016-07-01,FALSE,"West Midlands",NA
"168","Jul-16","01/07/2016","East",865,"East",2016-07-01,TRUE,"East",NA
"169","Jul-16","01/07/2016","London",1679,"London",2016-07-01,TRUE,"London",NA
"170","Jul-16","01/07/2016","South.East",986,"South East",2016-07-01,TRUE,"South East",NA
"171","Jul-16","01/07/2016","South.West",820,"South West",2016-07-01,FALSE,"South West",NA
"172","Aug-16","01/08/2016","North.East",543,"North East",2016-08-01,FALSE,"North East",NA
"173","Aug-16","01/08/2016","North.West",610,"North West",2016-08-01,FALSE,"North West",NA
"174","Aug-16","01/08/2016","Yorkshire.and.the.Humber",592,"Yorkshire and the Humber",2016-08-01,FALSE,"Yorkshire and the Humber",NA
"175","Aug-16","01/08/2016","East.Midlands",586,"East Midlands",2016-08-01,FALSE,"East Midlands",NA
"176","Aug-16","01/08/2016","West.Midlands",643,"West Midlands",2016-08-01,FALSE,"West Midlands",NA
"177","Aug-16","01/08/2016","East",869,"East",2016-08-01,TRUE,"East",NA
"178","Aug-16","01/08/2016","London",1684,"London",2016-08-01,TRUE,"London",NA
"179","Aug-16","01/08/2016","South.East",991,"South East",2016-08-01,TRUE,"South East",NA
"180","Aug-16","01/08/2016","South.West",822,"South West",2016-08-01,FALSE,"South West",NA
"181","Sep-16","01/09/2016","North.East",545,"North East",2016-09-01,FALSE,"North East",NA
"182","Sep-16","01/09/2016","North.West",611,"North West",2016-09-01,FALSE,"North West",NA
"183","Sep-16","01/09/2016","Yorkshire.and.the.Humber",594,"Yorkshire and the Humber",2016-09-01,FALSE,"Yorkshire and the Humber",NA
"184","Sep-16","01/09/2016","East.Midlands",587,"East Midlands",2016-09-01,FALSE,"East Midlands",NA
"185","Sep-16","01/09/2016","West.Midlands",645,"West Midlands",2016-09-01,FALSE,"West Midlands",NA
"186","Sep-16","01/09/2016","East",873,"East",2016-09-01,TRUE,"East",NA
"187","Sep-16","01/09/2016","London",1687,"London",2016-09-01,TRUE,"London",NA
"188","Sep-16","01/09/2016","South.East",995,"South East",2016-09-01,TRUE,"South East",NA
"189","Sep-16","01/09/2016","South.West",824,"South West",2016-09-01,FALSE,"South West",NA
"190","Oct-16","01/10/2016","North.East",546,"North East",2016-10-01,FALSE,"North East",NA
"191","Oct-16","01/10/2016","North.West",612,"North West",2016-10-01,FALSE,"North West",NA
"192","Oct-16","01/10/2016","Yorkshire.and.the.Humber",595,"Yorkshire and the Humber",2016-10-01,FALSE,"Yorkshire and the Humber",NA
"193","Oct-16","01/10/2016","East.Midlands",588,"East Midlands",2016-10-01,FALSE,"East Midlands",NA
"194","Oct-16","01/10/2016","West.Midlands",648,"West Midlands",2016-10-01,FALSE,"West Midlands",NA
"195","Oct-16","01/10/2016","East",876,"East",2016-10-01,TRUE,"East",NA
"196","Oct-16","01/10/2016","London",1691,"London",2016-10-01,TRUE,"London",NA
"197","Oct-16","01/10/2016","South.East",999,"South East",2016-10-01,TRUE,"South East",NA
"198","Oct-16","01/10/2016","South.West",828,"South West",2016-10-01,FALSE,"South West",NA
"199","Nov-16","01/11/2016","North.East",548,"North East",2016-11-01,FALSE,"North East",NA
"200","Nov-16","01/11/2016","North.West",612,"North West",2016-11-01,FALSE,"North West",NA
"201","Nov-16","01/11/2016","Yorkshire.and.the.Humber",595,"Yorkshire and the Humber",2016-11-01,FALSE,"Yorkshire and the Humber",NA
"202","Nov-16","01/11/2016","East.Midlands",591,"East Midlands",2016-11-01,FALSE,"East Midlands",NA
"203","Nov-16","01/11/2016","West.Midlands",650,"West Midlands",2016-11-01,FALSE,"West Midlands",NA
"204","Nov-16","01/11/2016","East",880,"East",2016-11-01,TRUE,"East",NA
"205","Nov-16","01/11/2016","London",1697,"London",2016-11-01,TRUE,"London",NA
"206","Nov-16","01/11/2016","South.East",1003,"South East",2016-11-01,TRUE,"South East",NA
"207","Nov-16","01/11/2016","South.West",832,"South West",2016-11-01,FALSE,"South West",NA
"208","Dec-16","01/12/2016","North.East",549,"North East",2016-12-01,FALSE,"North East",NA
"209","Dec-16","01/12/2016","North.West",614,"North West",2016-12-01,FALSE,"North West",NA
"210","Dec-16","01/12/2016","Yorkshire.and.the.Humber",598,"Yorkshire and the Humber",2016-12-01,FALSE,"Yorkshire and the Humber",NA
"211","Dec-16","01/12/2016","East.Midlands",593,"East Midlands",2016-12-01,FALSE,"East Midlands",NA
"212","Dec-16","01/12/2016","West.Midlands",651,"West Midlands",2016-12-01,FALSE,"West Midlands",NA
"213","Dec-16","01/12/2016","East",882,"East",2016-12-01,TRUE,"East",NA
"214","Dec-16","01/12/2016","London",1698,"London",2016-12-01,TRUE,"London",NA
"215","Dec-16","01/12/2016","South.East",1006,"South East",2016-12-01,TRUE,"South East",NA
"216","Dec-16","01/12/2016","South.West",836,"South West",2016-12-01,FALSE,"South West",NA
"217","Jan-17","01/01/2017","North.East",549,"North East",2017-01-01,FALSE,"North East",NA
"218","Jan-17","01/01/2017","North.West",615,"North West",2017-01-01,FALSE,"North West",NA
"219","Jan-17","01/01/2017","Yorkshire.and.the.Humber",599,"Yorkshire and the Humber",2017-01-01,FALSE,"Yorkshire and the Humber",NA
"220","Jan-17","01/01/2017","East.Midlands",595,"East Midlands",2017-01-01,FALSE,"East Midlands",NA
"221","Jan-17","01/01/2017","West.Midlands",652,"West Midlands",2017-01-01,FALSE,"West Midlands",NA
"222","Jan-17","01/01/2017","East",887,"East",2017-01-01,TRUE,"East",NA
"223","Jan-17","01/01/2017","London",1706,"London",2017-01-01,TRUE,"London",NA
"224","Jan-17","01/01/2017","South.East",1008,"South East",2017-01-01,TRUE,"South East",NA
"225","Jan-17","01/01/2017","South.West",837,"South West",2017-01-01,FALSE,"South West",NA
"226","Feb-17","01/02/2017","North.East",551,"North East",2017-02-01,FALSE,"North East",NA
"227","Feb-17","01/02/2017","North.West",616,"North West",2017-02-01,FALSE,"North West",NA
"228","Feb-17","01/02/2017","Yorkshire.and.the.Humber",599,"Yorkshire and the Humber",2017-02-01,FALSE,"Yorkshire and the Humber",NA
"229","Feb-17","01/02/2017","East.Midlands",597,"East Midlands",2017-02-01,FALSE,"East Midlands",NA
"230","Feb-17","01/02/2017","West.Midlands",651,"West Midlands",2017-02-01,FALSE,"West Midlands",NA
"231","Feb-17","01/02/2017","East",889,"East",2017-02-01,TRUE,"East",NA
