"","Date","Area_Code","Area_Name","Count","Mean","Lower_quartile","Median","Upper_quartile","Lower_quartile_num","Rentals_Cat"
"138",3445,"E07000199","Tamworth",250,715,"650",725,"775",650,"300 -"
"139",NA,"E10000031","Warwickshire",2390,826,"700",800,"900",700,"300 -"
"140",3705,"E07000218","North Warwickshire",220,694,"625",695,"763",625,"300 -"
"141",3710,"E07000219","Nuneaton and Bedworth",420,645,"583",650,"695",583,"300 -"
"142",3715,"E07000220","Rugby",290,757,"695",750,"800",695,"300 -"
"143",3720,"E07000221","Stratford-on-Avon",460,864,"775",825,"900",775,"300 -"
"144",3725,"E07000222","Warwick",1000,933,"825",895,"995",825,"300 -"
"145",NA,"E11000005","West Midlands (Met County)",5330,773,"670",750,"850",670,"300 -"
"146",4605,"E08000025","Birmingham",2180,832,"710",800,"900",710,"300 -"
"147",4610,"E08000026","Coventry",790,767,"675",750,"825",675,"300 -"
"148",4615,"E08000027","Dudley",520,672,"600",675,"725",600,"300 -"
"149",4620,"E08000028","Sandwell",550,695,"625",695,"750",625,"300 -"
"150",4625,"E08000029","Solihull",560,877,"775",850,"950",775,"300 -"
"151",4630,"E08000030","Walsall",430,651,"590",650,"710",590,"300 -"
"152",4635,"E08000031","Wolverhampton",300,665,"600",673,"725",600,"300 -"
"153",NA,"E10000034","Worcestershire",1640,720,"650",720,"775",650,"300 -"
"154",1805,"E07000234","Bromsgrove",150,746,"675",740,"795",675,"300 -"
"155",1860,"E07000235","Malvern Hills",180,755,"650",750,"825",650,"300 -"
"156",1825,"E07000236","Redditch",170,720,"665",725,"775",665,"300 -"
"157",1835,"E07000237","Worcester",440,738,"675",740,"795",675,"300 -"
"158",1840,"E07000238","Wychavon",340,748,"675",725,"795",675,"300 -"
"159",1845,"E07000239","Wyre Forest",360,640,"575",625,"700",575,"300 -"
"160",235,"E06000055","Bedford UA",870,855,"785",850,"910",785,"300 -"
"161",240,"E06000056","Central Bedfordshire UA",1430,926,"825",895,"975",825,"300 -"
"162",230,"E06000032","Luton UA",840,901,"825",900,"950",825,"300 -"
"163",540,"E06000031","Peterborough UA",1220,737,"675",735,"800",675,"300 -"
"164",1590,"E06000033","Southend-on-Sea UA",1620,951,"825",900,"1025",825,"300 -"
"165",1595,"E06000034","Thurrock UA",1060,994,"895",975,"1100",895,"300 -"
"166",NA,"E10000003","Cambridgeshire",3120,1009,"775",900,"1225",775,"300 -"
"167",505,"E07000008","Cambridge",840,1391,"1200",1350,"1525",1200,"1200 -"
"168",510,"E07000009","East Cambridgeshire",400,823,"750",805,"883",750,"300 -"
"169",515,"E07000010","Fenland",400,697,"650",695,"750",650,"300 -"
"170",520,"E07000011","Huntingdonshire",920,829,"750",825,"895",750,"300 -"
"171",530,"E07000012","South Cambridgeshire",570,1085,"950",1093,"1230",950,"300 -"
"172",NA,"E10000012","Essex",5900,984,"840",950,"1100",840,"300 -"
"173",1505,"E07000066","Basildon",740,1051,"950",1025,"1150",950,"300 -"
"174",1510,"E07000067","Braintree",430,893,"815",890,"950",815,"300 -"
"175",1515,"E07000068","Brentwood",530,1220,"1050",1200,"1350",1050,"300 -"
"176",1520,"E07000069","Castle Point",290,985,"875",950,"1100",875,"300 -"
"177",1525,"E07000070","Chelmsford",1040,1028,"890",1000,"1150",890,"300 -"
"178",1530,"E07000071","Colchester",960,844,"750",835,"900",750,"300 -"
"179",1535,"E07000072","Epping Forest",240,1260,"1120",1250,"1375",1120,"300 -"
"180",1540,"E07000073","Harlow",450,1032,"925",995,"1100",925,"300 -"
"181",1545,"E07000074","Maldon",70,857,"750",850,"950",750,"300 -"
"182",1550,"E07000075","Rochford",270,1005,"875",975,"1110",875,"300 -"
"183",1560,"E07000076","Tendring",670,783,"700",775,"850",700,"300 -"
"184",1570,"E07000077","Uttlesford",220,994,"875",950,"1100",875,"300 -"
"185",NA,"E10000015","Hertfordshire",4340,1213,"1050",1200,"1350",1050,"300 -"
"186",1905,"E07000095","Broxbourne",300,1137,"1000",1114,"1230",1000,"300 -"
"187",1910,"E07000096","Dacorum",530,1173,"1005",1195,"1295",1005,"300 -"
"188",1915,"E07000242","East Hertfordshire",830,1157,"1000",1150,"1250",1000,"300 -"
"189",1920,"E07000098","Hertsmere",310,1363,"1250",1350,"1450",1250,"1200 -"
"190",1925,"E07000099","North Hertfordshire",380,1032,"900",995,"1150",900,"300 -"
"191",1930,"E07000240","St Albans",720,1382,"1200",1350,"1550",1200,"1200 -"
"192",1935,"E07000243","Stevenage",270,1055,"950",1050,"1150",950,"300 -"
"193",1940,"E07000102","Three Rivers",220,1309,"1200",1300,"1400",1200,"1200 -"
"194",1945,"E07000103","Watford",380,1325,"1200",1300,"1400",1200,"1200 -"
"195",1950,"E07000241","Welwyn Hatfield",410,1143,"975",1100,"1250",975,"300 -"
"196",NA,"E10000020","Norfolk",3720,731,"645",705,"800",645,"300 -"
"197",2605,"E07000143","Breckland",530,712,"650",700,"775",650,"300 -"
"198",2610,"E07000144","Broadland",360,749,"650",735,"833",650,"300 -"
"199",2615,"E07000145","Great Yarmouth",510,627,"550",625,"695",550,"300 -"
"200",2635,"E07000146","King’s Lynn and West Norfolk",720,703,"645",700,"775",645,"300 -"
"201",2620,"E07000147","North Norfolk",450,696,"615",675,"775",615,"300 -"
"202",2625,"E07000148","Norwich",960,822,"695",795,"900",695,"300 -"
"203",2630,"E07000149","South Norfolk",200,755,"695",750,"800",695,"300 -"
"204",NA,"E10000029","Suffolk",2590,779,"660",750,"850",660,"300 -"
"205",3505,"E07000200","Babergh",330,783,"705",768,"850",705,"300 -"
"206",3540,"E07000244","East Suffolk",650,684,"595",680,"775",595,"300 -"
"207",3515,"E07000202","Ipswich",780,701,"630",700,"760",630,"300 -"
"208",3520,"E07000203","Mid Suffolk",130,773,"715",775,"824",715,"300 -"
"209",3545,"E07000245","West Suffolk",700,953,"800",990,"1080",800,"300 -"
"210",NA,"E13000001","Inner London",7670,2131,"1575",1890,"2400",1575,"1350 -"
"211",5210,"E09000007","Camden",510,2319,"1850",2173,"2557",1850,"1650+"
"212",5030,"E09000001","City of London",20,2503,"2210",2500,"2750",2210,"1650+"
"213",5360,"E09000012","Hackney",330,1954,"1600",1850,"2175",1600,"1350 -"
"214",5390,"E09000013","Hammersmith and Fulham",460,2088,"1650",1950,"2427",1650,"1650+"
"215",5420,"E09000014","Haringey",500,1675,"1470",1600,"1842",1470,"1350 -"
"216",5570,"E09000019","Islington",320,2133,"1700",2043,"2400",1700,"1650+"
"217",5600,"E09000020","Kensington and Chelsea",1040,3174,"2400",2925,"3600",2400,"1650+"
"218",5660,"E09000022","Lambeth",560,1847,"1560",1750,"2000",1560,"1350 -"
"219",5690,"E09000023","Lewisham",650,1457,"1300",1450,"1600",1300,"1200 -"
"220",5750,"E09000025","Newham",590,1532,"1300",1450,"1675",1300,"1200 -"
"221",5840,"E09000028","Southwark",1060,1988,"1600",1850,"2250",1600,"1350 -"
"222",5900,"E09000030","Tower Hamlets",520,1984,"1675",1875,"2149",1675,"1650+"
"223",5960,"E09000032","Wandsworth",730,1911,"1600",1800,"2125",1600,"1350 -"
"224",5990,"E09000033","Westminster",400,3260,"2427",2925,"3672",2427,"1650+"
"225",NA,"E13000002","Outer London",10560,1433,"1250",1400,"1550",1250,"1200 -"
"226",5060,"E09000002","Barking and Dagenham",340,1266,"1200",1250,"1350",1200,"1200 -"
"227",5090,"E09000003","Barnet",1020,1524,"1365",1500,"1650",1365,"1350 -"
"228",5120,"E09000004","Bexley",290,1265,"1150",1250,"1400",1150,"300 -"
"229",5150,"E09000005","Brent",270,1513,"1350",1450,"1600",1350,"1350 -"
"230",5180,"E09000006","Bromley",980,1380,"1250",1350,"1500",1250,"1200 -"
"231",5240,"E09000008","Croydon",640,1274,"1168",1250,"1375",1168,"300 -"
"232",5270,"E09000009","Ealing",700,1591,"1400",1550,"1700",1400,"1350 -"
"233",5300,"E09000010","Enfield",330,1372,"1295",1350,"1450",1295,"1200 -"
"234",5330,"E09000011","Greenwich",690,1510,"1250",1450,"1700",1250,"1200 -"
"235",5450,"E09000015","Harrow",570,1386,"1275",1350,"1450",1275,"1200 -"
"236",5480,"E09000016","Havering",330,1238,"1150",1250,"1350",1150,"300 -"
"237",5510,"E09000017","Hillingdon",980,1321,"1200",1300,"1425",1200,"1200 -"
"238",5540,"E09000018","Hounslow",550,1517,"1275",1400,"1650",1275,"1200 -"
"239",5630,"E09000021","Kingston upon Thames",290,1496,"1300",1450,"1650",1300,"1200 -"
"240",5720,"E09000024","Merton",350,1644,"1350",1575,"1850",1350,"1350 -"
